                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.3778,                0.98344,                0.91565,                0.42944,                0.33796,                0.33417,                0.19383,                 1.3483,                0.97999,                0.90994,               0.006238,               0.006238,               0.006238
                     78,                 1.3738,                0.97674,                0.91493,                0.42635,                0.34078,                0.33233,                0.19339,                 1.3466,                0.98081,                0.90863,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.3692,                0.97647,                0.91396,                0.42921,                0.34081,                0.33515,                0.19472,                  1.345,                0.97383,                0.90826,               0.006139,               0.006139,               0.006139
                     80,                 1.3715,                 0.9737,                0.91466,                0.43348,                0.33449,                0.33501,                0.19547,                 1.3437,                 0.9755,                 0.9084,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.3676,                0.96935,                0.91432,                0.43418,                0.33744,                 0.3355,                0.19589,                 1.3442,                0.97569,                0.90844,                0.00604,                0.00604,                0.00604
                     82,                 1.3712,                0.97381,                0.91259,                0.43173,                0.34004,                0.33735,                0.19631,                 1.3431,                0.97573,                0.90827,              0.0059905,              0.0059905,              0.0059905
                     83,                  1.376,                0.97641,                  0.915,                0.43801,                0.33603,                0.33752,                0.19652,                 1.3394,                0.97235,                 0.9078,               0.005941,               0.005941,               0.005941
                     84,                 1.3683,                 0.9687,                0.91426,                0.43035,                0.33999,                0.33912,                0.19739,                 1.3393,                0.97034,                0.90729,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.3619,                0.97046,                0.91379,                0.43629,                0.33786,                0.33794,                0.19624,                 1.3442,                0.97101,                0.90832,               0.005842,               0.005842,               0.005842
                     86,                 1.3702,                0.97079,                0.91318,                0.42845,                0.33899,                0.33881,                0.19773,                 1.3423,                0.96862,                0.90781,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.3645,                0.96603,                0.91214,                0.43548,                0.33737,                0.33823,                0.19755,                 1.3413,                0.97076,                0.90769,               0.005743,               0.005743,               0.005743
                     88,                 1.3616,                0.96379,                 0.9136,                0.44143,                0.33536,                0.33864,                0.19738,                 1.3401,                0.96809,                0.90822,              0.0056935,              0.0056935,              0.0056935
                     89,                  1.359,                 0.9627,                0.91092,                 0.4326,                0.33888,                0.33834,                0.19722,                   1.34,                0.96677,                0.90819,               0.005644,               0.005644,               0.005644
